Entry	Gene Names	Gene Ontology IDs	Keywords
G3XD66	narX PA3878	GO:0000155; GO:0005524; GO:0005886; GO:0007165; GO:0046983	ATP-binding;Cell inner membrane;Cell membrane;Coiled coil;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system
G3XD73	motC PA1460	GO:0005886; GO:0006935; GO:0015031; GO:0071973; GO:0071978	Cell membrane;Flagellar rotation;Membrane;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q14T73	pntAB PA0195.1	GO:0005886; GO:0008750	Cell inner membrane;Cell membrane;Membrane;NAD;NADP;Reference proteome;Translocase;Transmembrane;Transmembrane helix
Q820A5	phzG2 PA1905	GO:0002047; GO:0004733; GO:0008615; GO:0010181; GO:0042823	Flavoprotein;FMN;Oxidoreductase;Reference proteome
Q9HT33	pyrQ PA5541	GO:0004038; GO:0004151; GO:0005737; GO:0006145; GO:0006221; GO:0046872	Hydrolase;Metal-binding;Pyrimidine biosynthesis;Reference proteome
Q9HT36	amiA PA5538	GO:0008745; GO:0009253; GO:0030288; GO:0043093; GO:0071555	Cell wall biogenesis/degradation;Hydrolase;Periplasm;Reference proteome;Signal
Q9HT38	dksA PA5536	GO:0005737; GO:0006355; GO:0008270; GO:0070063	Cytoplasm;Metal-binding;Reference proteome;Zinc;Zinc-finger
Q9HT87	PA5484	GO:0000155; GO:0005524; GO:0005886; GO:0016791	3D-structure;ATP-binding;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q9HTE2	PA5422	GO:0005975; GO:0006798; GO:0008976; GO:0030246; GO:0047938	Isomerase;Reference proteome
Q9HTK5	glcF PA5353	GO:0005886; GO:0019154; GO:0046296; GO:0046872; GO:0051539	4Fe-4S;Electron transport;Iron;Iron-sulfur;Metal-binding;Reference proteome;Repeat;Transport
Q9HTP6	lrp PA5308	GO:0005829; GO:0006351; GO:0006355; GO:0006524; GO:0043201; GO:0043565	Activator;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9HU09	fdhD PA5180	GO:0005737; GO:0006777; GO:0016783; GO:0097163	Cytoplasm;Molybdenum cofactor biosynthesis;Reference proteome
Q9HU23	rmlD PA5162	GO:0000271; GO:0005829; GO:0008831; GO:0009243; GO:0009244; GO:0019305	NADP;Oxidoreductase;Reference proteome
Q9HUB9	ubiJ PA5064	GO:0005737; GO:0006744	Cytoplasm;Reference proteome;Ubiquinone biosynthesis
Q9HUD2	PA5047	GO:0004222; GO:0008237; GO:0016020; GO:0046872; GO:0051603	Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Signal;Zinc
Q9HUN9	PA4925	GO:0005886; GO:0008381	Cell inner membrane;Cell membrane;Ion channel;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9HUP6	PA4917	GO:0004515; GO:0005524; GO:0009435	ATP-binding;NAD;Nucleotide-binding;Nucleotidyltransferase;Pyridine nucleotide biosynthesis;Reference proteome;Transferase
Q9HUS3	desT PA4890	GO:0000976; GO:0001217; GO:0006351; GO:0032993; GO:0045892; GO:0045922	3D-structure;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9HUZ8	fdnH PA4811	GO:0005886; GO:0009061; GO:0009326; GO:0015944; GO:0036397; GO:0046872; GO:0051539	4Fe-4S;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Reference proteome;Repeat;Transmembrane;Transport
Q9HVF7	PA4634	GO:0003697; GO:0005657; GO:0006508; GO:0008233; GO:0036297; GO:0071281; GO:0097681; GO:0106300; GO:0140431; GO:0160129	Covalent protein-DNA linkage;DNA damage;DNA-binding;Hydrolase;Lyase;Protease;Reference proteome
Q9HVN0	fimT PA4549	GO:0005886; GO:0015627; GO:0015628; GO:0016888; GO:0043683	Cell inner membrane;Cell membrane;Membrane;Methylation;Reference proteome;Transmembrane;Transmembrane helix
Q9HVU1	mreC PA4480	GO:0005886; GO:0008360; GO:0046872	3D-structure;Cell shape;Metal-binding;Reference proteome
Q9HVY6	PA4429	GO:0009055; GO:0016020; GO:0020037; GO:0046872	3D-structure;Heme;Iron;Membrane;Metal-binding;Reference proteome;Signal;Transmembrane;Transmembrane helix
Q9HW22	PA4380	GO:0000155; GO:0000160; GO:0005886	Kinase;Membrane;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system
Q9HW87	purU1 purU PA4314	GO:0006189; GO:0006730; GO:0008864	Hydrolase;One-carbon metabolism;Purine biosynthesis;Reference proteome
Q9HWH3	opmD PA4208	GO:0009279; GO:0015562; GO:0016020; GO:0022857; GO:0055085	Cell outer membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transmembrane;Transmembrane beta strand
Q9HWI8	PA4193	GO:0005886; GO:0006865; GO:0022857; GO:0043190	Amino-acid transport;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9HWK3	PA4178	GO:0006744; GO:0008168; GO:0008425; GO:0017000; GO:0032259	Antibiotic biosynthesis;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase
Q9HWK9	PA4172	GO:0003677; GO:0004519; GO:0005829; GO:0006281; GO:0006974; GO:0008311; GO:0046872	Hydrolase;Magnesium;Manganese;Metal-binding;Reference proteome
Q9HWM7	PA4154	GO:0016020	Coiled coil;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix
Q9HWP5	PA4136	GO:0005886; GO:0015385; GO:0042910; GO:1990961	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9HWU3	cupB2 PA4085	GO:0006457; GO:0030288; GO:0044183; GO:0071555	3D-structure;Chaperone;Fimbrium biogenesis;Immunoglobulin domain;Periplasm;Reference proteome;Signal
Q9HWW1	oprG PA4067	GO:0016020; GO:0019867; GO:0044384; GO:0055085	3D-structure;Reference proteome;Signal
Q9HWX8	pgpA PA4050	GO:0005886; GO:0006655; GO:0008962; GO:0009395; GO:0046872	Cell inner membrane;Cell membrane;Hydrolase;Lipid degradation;Lipid metabolism;Magnesium;Membrane;Metal-binding;Phospholipid degradation;Phospholipid metabolism;Reference proteome;Transmembrane;Transmembrane helix
Q9HWY6	PA4041	GO:0016836; GO:0034194; GO:0046872; GO:0047808	Magnesium;Metal-binding;Reference proteome
Q9HWZ8	PA4029	GO:0005886; GO:0022857; GO:0043093; GO:0055085	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q9HX28	PA3992	GO:0008933; GO:0009253; GO:0009254; GO:0046872	3D-structure;Calcium;Metal-binding;Reference proteome;Signal
Q9HXH5	PA3827	GO:0015920; GO:0042626; GO:0043190	3D-structure;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q9HXJ3	PA3804	GO:0003677; GO:0003700; GO:0005886; GO:0006352	Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q9HXN4	PA3761	GO:0005886; GO:0008982; GO:0009401; GO:0015572; GO:0015764; GO:0016301; GO:0019866; GO:0090563	Cell membrane;Kinase;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport
Q9HXN9	PA3756	GO:0004175; GO:0004180; GO:0008234; GO:0008360; GO:0009252; GO:0016740; GO:0071555; GO:0071972	Cell wall biogenesis/degradation;Reference proteome;Signal
Q9HXQ3	PA3741	GO:0005737; GO:0005829; GO:0006637; GO:0009062; GO:0052816	Hydrolase;Reference proteome
Q9HXW2	PA3678	GO:0000976; GO:0001217; GO:0003700; GO:0006351; GO:0006355; GO:0032993; GO:0043565; GO:0045892	3D-structure;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9HY02	PA3628	GO:0005829; GO:0018738; GO:0046294; GO:0052689	Hydrolase;Reference proteome;Serine esterase
Q9HY55	fruI PA3562	GO:0005737; GO:0008965; GO:0009401; GO:0015764; GO:0016301; GO:0046872	Cytoplasm;Kinase;Magnesium;Metal-binding;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transport
Q9HY81	PA3529	GO:0005829; GO:0006979; GO:0008379; GO:0008785; GO:0042744; GO:0042802; GO:0045454	Disulfide bond;Oxidoreductase;Peroxidase;Redox-active center;Reference proteome
Q9HY87	PA3522	GO:0005886; GO:0009636; GO:0015562; GO:0042910	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9HY88	PA3521	GO:0009279; GO:0015562; GO:0016020; GO:0022857; GO:0055085	Cell outer membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transmembrane;Transmembrane beta strand
Q9HYC8	PA3481	GO:0005524; GO:0005829; GO:0016226; GO:0016887; GO:0046872; GO:0051539; GO:0140663	ATP-binding;Hydrolase;Iron;Iron-sulfur;Metal-binding;Nucleotide-binding;Reference proteome
Q9HYE0	PA3466	GO:0003676; GO:0003724; GO:0005524; GO:0005829; GO:0016787	ATP-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome
Q9HYI7	ldh PA3418	GO:0000166; GO:0006520; GO:0016639	3D-structure;NAD;Nucleotide-binding;Oxidoreductase;Reference proteome
Q9HYX3	PA3268	GO:0009279; GO:0015343; GO:0015891; GO:0033214; GO:0038023	Cell outer membrane;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport
Q9HYX5	PA3265	GO:0005886; GO:0022857; GO:0055085; GO:1990961	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9HZ32	PA3208	GO:0005829; GO:0016491	Flavoprotein;FMN;NAD;NADP;Oxidoreductase;Reference proteome
Q9HZ57	PA3177	GO:0005886; GO:0043709; GO:0052621; GO:1902201	Reference proteome
Q9HZ64	PA3170	GO:0004000; GO:0019239; GO:0046872; GO:0090614	3D-structure;Hydrolase;Metal-binding;Reference proteome;Zinc
Q9HZA9	PA3110	GO:0030428; GO:0032153; GO:0032506; GO:0042834	Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q9HZD1	PA3077	GO:0000156; GO:0000976; GO:0005829; GO:0006351; GO:0006355; GO:0032993; GO:0071073	DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
Q9HZG3	PA3045	GO:0000160; GO:0000976; GO:0003700; GO:0006351; GO:0006355; GO:0051051	DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation
Q9HZG4	PA3044	GO:0000155; GO:0000160; GO:0005524; GO:0005886; GO:0009927	ATP-binding;Cell inner membrane;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Signal;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system
Q9HZH8	moeA2 PA3028	GO:0005737; GO:0005829; GO:0006777; GO:0046872; GO:0061599	Magnesium;Metal-binding;Molybdenum;Molybdenum cofactor biosynthesis;Reference proteome;Transferase
Q9HZQ7	PA2940	GO:0003988; GO:0005737; GO:0006635; GO:0010124; GO:0033812	3D-structure;Acyltransferase;Reference proteome;Transferase
Q9HZR6	cifR PA2931	GO:0000976; GO:0001217; GO:0006351; GO:0032993; GO:0045892	3D-structure;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9HZX6	PA2870	GO:0005886; GO:0043709; GO:0052621; GO:1902201	Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q9HZZ4	ohrR PA2849	GO:0000976; GO:0001217; GO:0005737; GO:0006351; GO:0006355; GO:0006950; GO:0032993; GO:0045892; GO:1900407	Cytoplasm;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9I000	PA2843	GO:0002047; GO:0003849; GO:0009073	3D-structure;Cadmium;Cobalt;Manganese;Reference proteome;Transferase
Q9I045	PA2798	GO:0000156; GO:0000976; GO:0005829; GO:0006351; GO:0006355; GO:0032993; GO:0046872	3D-structure;Coiled coil;DNA-binding;Metal-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
Q9I0G0	PA2678	GO:0015774; GO:0015920; GO:0043190; GO:0140359	Capsule biogenesis/degradation;Cell membrane;Membrane;Polysaccharide transport;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport
Q9I0M5	PA2613	GO:0000731; GO:0003677; GO:0005524; GO:0006261; GO:0008047; GO:0016887; GO:0017116	ATP-binding;DNA replication;Nucleotide-binding;Reference proteome
Q9I0P1	PA2596	GO:0016020; GO:0042597; GO:0042626	Reference proteome;Signal;Transport
Q9I0Q2	pgsA PA2584	GO:0005886; GO:0008444; GO:0046474	Cell membrane;Lipid biosynthesis;Lipid metabolism;Membrane;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q9I0R5	PA2571	GO:0000155; GO:0007165	Coiled coil;Phosphoprotein;Reference proteome
Q9I0W1	czcB PA2521	GO:0015679; GO:0016020; GO:0022857; GO:0030288; GO:0030313; GO:0046686; GO:0046914; GO:0060003	Cadmium resistance;Reference proteome;Transport;Zinc
Q9I0W3	xylS PA2519	GO:0000987; GO:0003700; GO:0005737; GO:0006351; GO:0006355; GO:0009893	Activator;DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9I119	PA2463	GO:0008320; GO:0009279; GO:0046819; GO:0098046	Cell outer membrane;Membrane;Protein transport;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
Q9I140	gcvT2 PA2442	GO:0004047; GO:0005960; GO:0006546; GO:0008483	Aminotransferase;Reference proteome;Transferase
Q9I147	PA2435	GO:0005524; GO:0005886; GO:0015086; GO:0016020; GO:0016463; GO:0016887; GO:0030001; GO:0046872; GO:0055085	ATP-binding;Cell membrane;Membrane;Metal-binding;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix
Q9I168	pvdH PA2413	GO:0002049; GO:0008483; GO:0030170	Aminotransferase;Pyridoxal phosphate;Reference proteome;Transferase
Q9I1R1	PA2206	GO:0000976; GO:0003700; GO:0006351; GO:0006355; GO:0045893; GO:1901031	DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9I1X1	glgP PA2144	GO:0005737; GO:0005980; GO:0008184; GO:0030170	Allosteric enzyme;Carbohydrate metabolism;Cytoplasm;Glycosyltransferase;Pyridoxal phosphate;Reference proteome;Transferase
Q9I1Y3	cupA5 PA2132	GO:0006457; GO:0030288; GO:0044183; GO:0071453; GO:0071555	Chaperone;Periplasm;Reference proteome;Signal
Q9I1Y6	cupA2 PA2129	GO:0006457; GO:0007155; GO:0030288; GO:0044183; GO:0071453; GO:0071555; GO:0097311	Chaperone;Fimbrium biogenesis;Periplasm;Reference proteome;Signal
Q9I211	PA2104	GO:0004124; GO:0005737; GO:0006535; GO:0080146	Amino-acid biosynthesis;Cysteine biosynthesis;Pyridoxal phosphate;Reference proteome;Transferase
Q9I222	PA2093	GO:0003677; GO:0005829; GO:0006352; GO:0006355; GO:0016987; GO:0034756	DNA-binding;Reference proteome;Sigma factor;Transcription;Transcription regulation
Q9I226	PA2089	GO:0006826; GO:0009279; GO:0019867	Cell outer membrane;Ion transport;Iron;Iron transport;Membrane;Reference proteome;TonB box;Transmembrane;Transmembrane beta strand;Transport
Q9I253	PA2062	GO:0031071; GO:0046872; GO:0051537	2Fe-2S;Iron;Iron-sulfur;Metal-binding;Pyridoxal phosphate;Reference proteome;Transferase
Q9I297	liuB PA2014	GO:0004485; GO:0006552; GO:0008300; GO:1905202	3D-structure;Reference proteome
Q9I2B0	dhcA PA1999	GO:0042413; GO:0042952; GO:0047569	Reference proteome;Transferase
Q9I2E6	PA1958	GO:0005886; GO:0034257	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9I2J4	femA PA1910	GO:0005829; GO:0009279; GO:0015344; GO:0015891; GO:0016987; GO:0033214; GO:0034756; GO:0038023	3D-structure;Cell outer membrane;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport
Q9I2Q7	cysI PA1838	GO:0000103; GO:0009337; GO:0009970; GO:0016491; GO:0020037; GO:0046872; GO:0051539	4Fe-4S;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome
Q9I2T3	PA1811	GO:0006857; GO:0015031; GO:0015833; GO:0030288; GO:0042884; GO:0043190; GO:1904680	Peptide transport;Periplasm;Protein transport;Reference proteome;Signal;Transport
Q9I2T8	ppiD PA1805	GO:0003755; GO:0005886; GO:0006457	Cell inner membrane;Cell membrane;Chaperone;Isomerase;Membrane;Reference proteome;Rotamase;Transmembrane;Transmembrane helix
Q9I2U3	parR PA1799	GO:0000156; GO:0000976; GO:0005829; GO:0006351; GO:0006355; GO:0032993; GO:0071073	Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
Q9I2W1	nirB PA1781	GO:0020037; GO:0042128; GO:0046872; GO:0050660; GO:0050661; GO:0051537; GO:0051539; GO:0098809	2Fe-2S;4Fe-4S;FAD;Flavoprotein;Heme;Iron;Iron-sulfur;Metal-binding;Nitrate assimilation;Oxidoreductase;Reference proteome
Q9I2W5	sigX PA1776	GO:0003677; GO:0006352; GO:0006355; GO:0016987; GO:0030307	DNA-binding;Reference proteome;Sigma factor;Transcription;Transcription regulation
Q9I2Y7	PA1750	GO:0003849; GO:0005737; GO:0008652; GO:0009073; GO:0009423; GO:0042802	Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cytoplasm;Reference proteome;Transferase
Q9I311	bglX PA1726	GO:0008422; GO:0009251; GO:0042597; GO:0046872	3D-structure;Glycosidase;Hydrolase;Metal-binding;Periplasm;Reference proteome;Signal
Q9I319	pscC sctC PA1716	GO:0009279; GO:0009306; GO:0015627; GO:0030254; GO:0030257	Cell outer membrane;Membrane;Protein transport;Reference proteome;Signal;Translocation;Transport;Virulence
Q9I388	kdpE PA1637	GO:0000156; GO:0000976; GO:0000987; GO:0005829; GO:0006351; GO:0006355; GO:0032993; GO:0042802; GO:0045893	Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
Q9I3B3	PA1608	GO:0004888; GO:0005886; GO:0006935; GO:0007165	Cell membrane;Chemotaxis;Membrane;Methylation;Reference proteome;Transducer;Transmembrane;Transmembrane helix
Q9I3D6	sdhD PA1582	GO:0005886; GO:0006099; GO:0009055; GO:0009060; GO:0017004; GO:0020037; GO:0046872	Cell inner membrane;Cell membrane;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport;Tricarboxylic acid cycle
Q9I3F1	PA1566	GO:0004356; GO:0006542; GO:0006598	Ligase;Magnesium;Reference proteome
Q9I3H3	PA1540	GO:0005886; GO:0015199; GO:0015220; GO:0015297; GO:0015871; GO:0031460; GO:1903711; GO:1990961	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9I3H8	PA1535	GO:0003995; GO:0005737; GO:0033539; GO:0034824; GO:0046247; GO:0050660	FAD;Flavoprotein;Oxidoreductase;Reference proteome
Q9I3J7	PA1516	GO:0000255; GO:0005777; GO:0006144; GO:0019628; GO:0051997	Decarboxylase;Lyase;Purine metabolism;Reference proteome
Q9I3Q9	PA1438	GO:0000155; GO:0000160; GO:0005524; GO:0005886	ATP-binding;Cell inner membrane;Cell membrane;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system
Q9I3U8	PA1396	GO:0000155; GO:0000156; GO:0005524; GO:0007234; GO:0030295	ATP-binding;Kinase;Membrane;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Two-component regulatory system
Q9I405	PA1339	GO:0005524; GO:0005886; GO:0015424; GO:0016887; GO:0042626; GO:0042940; GO:0051938	Amino-acid transport;ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Transport
Q9I457	PA1287	GO:0004601; GO:0034599	Oxidoreductase;Peroxidase;Reference proteome;Signal
Q9I473	PA1271	GO:0006811; GO:0009279; GO:0015288; GO:0015420; GO:0015889; GO:0046930	Cell outer membrane;Ion transport;Membrane;Porin;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport
Q9I491	PA1253	GO:0019470; GO:0047533	Oxidoreductase;Reference proteome
Q9I498	PA1240	GO:0006635; GO:0008203; GO:0016829	3D-structure;Cholesterol metabolism;Lipid metabolism;Lyase;Reference proteome;Steroid metabolism;Sterol metabolism
Q9I4B6	PA1222	GO:0004553; GO:0008933; GO:0009253; GO:0009254; GO:0019867; GO:0071555	Cell wall biogenesis/degradation;Lyase;Reference proteome;Signal
Q9I4G1	napF PA1176	GO:0005737; GO:0046872; GO:0051539	4Fe-4S;Cytoplasm;Electron transport;Iron;Iron-sulfur;Metal-binding;Reference proteome;Repeat;Transport
Q9I4I1	nrdA PA1156	GO:0004748; GO:0005524; GO:0005971; GO:0009263	3D-structure;Allosteric enzyme;ATP-binding;Deoxyribonucleotide synthesis;Nucleotide-binding;Oxidoreductase;Reference proteome
Q9I4P8	flgF PA1081	GO:0009288; GO:0030694; GO:0071978	Bacterial flagellum;Cell projection;Cilium;Flagellum;Reference proteome
Q9I4P9	flgE PA1080	GO:0005829; GO:0009288; GO:0009424; GO:0009425; GO:0071978	3D-structure;Bacterial flagellum;Cell projection;Cilium;Flagellum;Reference proteome
Q9I4W7	PA1006	GO:0042128; GO:0044010	Reference proteome
Q9I529	PA0929	GO:0000156; GO:0000976; GO:0005829; GO:0006351; GO:0006355; GO:0032993; GO:0071281	Cytoplasm;DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system
Q9I594	PA0847	GO:0005886; GO:0006355; GO:0007165; GO:0052621; GO:0061939	Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q9I5E4	PA0794	GO:0003994; GO:0005829; GO:0006099; GO:0019679; GO:0030350; GO:0046872; GO:0051539	Iron;Iron-sulfur;Metal-binding;Reference proteome
Q9I5E6	prpD PA0792	GO:0006099; GO:0019541; GO:0019679; GO:0047547; GO:0051537	3D-structure;Lyase;Reference proteome;Tricarboxylic acid cycle
Q9I5F0	PA0788	GO:0004180; GO:0006508; GO:0008955; GO:0009252; GO:0030288	Carboxypeptidase;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Protease;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q9I5N3	exbB2 PA0693	GO:0005886; GO:0017038	Cell membrane;Disulfide bond;Membrane;Protein transport;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport
Q9I5Q4	PA0667	GO:0004222; GO:0006508; GO:0030313; GO:0042834; GO:0046872	Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc
Q9I670	PA0448	GO:0000162; GO:0003700; GO:0006351; GO:0009891; GO:0043565	Activator;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation;Tryptophan biosynthesis
Q9I692	PA0421	GO:0009851; GO:0016491; GO:0050361	Auxin biosynthesis;Oxidoreductase;Reference proteome;Signal
Q9I6C2	PA0372	GO:0006508; GO:0008237; GO:0018189; GO:0019867; GO:0046872	3D-structure;Hydrolase;Metalloprotease;Protease;Reference proteome;Signal;Zinc
Q9I6G7	PA0324	GO:0005886; GO:0015417	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q9I6I6	PA0305	GO:0016811; GO:0017000; GO:0042597; GO:0046872	Calcium;Hydrolase;Metal-binding;Periplasm;Reference proteome;Signal;Zymogen
Q9I6K3	gpuP PA0287	GO:0005886; GO:0006814; GO:0015293; GO:0022857; GO:0046942; GO:0055085	Cell membrane;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Symport;Transmembrane;Transmembrane helix;Transport
Q9I6K5	PA0285	GO:0005886; GO:0006355; GO:0052621; GO:0061939; GO:0071111; GO:0071732	c-di-GMP;Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q9I6K7	sbp PA0283	GO:0005615; GO:0006790; GO:0030288; GO:0043199; GO:0140104; GO:1902358	Periplasm;Reference proteome;Signal;Transport
Q9I6K8	cysT PA0282	GO:0005886; GO:0015419	Membrane;Reference proteome;Sulfate transport;Transmembrane;Transmembrane helix;Transport
Q9I6M3	PA0267	GO:0000156; GO:0000976; GO:0005829; GO:0006355; GO:0032993	Reference proteome
Q9I6S4	PA0214	GO:0004314; GO:0005829; GO:0006633	Acyltransferase;Reference proteome;Transferase
Q9I6Y0	pcaQ PA0152	GO:0003677; GO:0003700; GO:0006351; GO:0006355; GO:0019619; GO:0032993; GO:0045893	DNA-binding;Reference proteome;Transcription;Transcription regulation
Q9I6Y1	PA0151	GO:0007166; GO:0009279; GO:0015344; GO:0015891; GO:0019867; GO:0033214; GO:0038023	Cell outer membrane;Ion transport;Iron;Iron transport;Membrane;Receptor;Reference proteome;Signal;TonB box;Transmembrane;Transmembrane beta strand;Transport
Q9I6Z8	PA0134	GO:0005829; GO:0006147; GO:0008270; GO:0008892; GO:0046098	Hydrolase;Metal-binding;Reference proteome;Zinc
Q9I792	PA0040	GO:0008320; GO:0009279; GO:0046819; GO:0098046	Cell outer membrane;Membrane;Protein transport;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
Q9I7B5	PA0011	GO:0005886; GO:0009245; GO:0009247; GO:0016020; GO:0016746; GO:0016747; GO:0034605; GO:0071236; GO:0071470	Acyltransferase;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transferase
E1JGJ8	prfB PA3701	GO:0005737; GO:0016149	Cytoplasm;Methylation;Protein biosynthesis;Reference proteome
G3XCU6	cysB PA1754	GO:0000976; GO:0003700; GO:0006351; GO:0006355; GO:0019344; GO:0045893	DNA-binding;Reference proteome;Transcription;Transcription regulation
G3XCX1	narG PA3875	GO:0005886; GO:0009325; GO:0016020; GO:0019645; GO:0042128; GO:0043546; GO:0046872; GO:0051539; GO:0160182	4Fe-4S;Cell membrane;Electron transport;Iron;Iron-sulfur;Membrane;Metal-binding;Molybdenum;Nitrate assimilation;Oxidoreductase;Reference proteome;Transport
G3XCY2	wzz PA3160	GO:0004713; GO:0005886; GO:0009243; GO:0043165; GO:0098567	Cell membrane;Coiled coil;Membrane;Reference proteome;Transmembrane;Transmembrane helix
G3XCZ5	aotM PA0890	GO:0005886; GO:0006865; GO:0022857; GO:0043190	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
G3XD53	PA2321	GO:0005524; GO:0019521; GO:0046316	ATP-binding;Gluconate utilization;Kinase;Nucleotide-binding;Reference proteome;Transferase
Q9HT12	spoOJ PA5562	GO:0003677; GO:0005694; GO:0007059; GO:0042802; GO:0045881	Chromosome partition;DNA-binding;Reference proteome
Q9HT43	PA5530	GO:0005886; GO:0006835; GO:0007231; GO:0015294; GO:1905647	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Symport;Transmembrane;Transmembrane helix;Transport
Q9HT49	PA5524	GO:0016616; GO:0018511; GO:0030497	Oxidoreductase;Reference proteome
Q9HT75	PA5498	GO:0000006; GO:0006829; GO:0008270; GO:0010043; GO:0042597	Disulfide bond;Ion transport;Metal-binding;Periplasm;Reference proteome;Signal;Transport;Zinc;Zinc transport
Q9HT77	nrdJb PA5496	GO:0000166; GO:0004748; GO:0071897	DNA synthesis;Nucleotide-binding;Reference proteome
